dataset,n_train,n_object_cols,gate_c,base_public,base_private,A_K5_public,A_K5_private,dA_K5_public,dA_K5_private,A_K10_public,A_K10_private,dA_K10_public,dA_K10_private,A_K20_public,A_K20_private,dA_K20_public,dA_K20_private,W5_0_public,W5_0_private,dW5_0_public,dW5_0_private,W5_5_public,W5_5_private,dW5_5_public,dW5_5_private,W5_10_public,W5_10_private,dW5_10_public,dW5_10_private,W5_15_public,W5_15_private,dW5_15_public,dW5_15_private,W10_0_public,W10_0_private,dW10_0_public,dW10_0_private,W10_10_public,W10_10_private,dW10_10_public,dW10_10_private
train_01,14957,5,True,0.7102870983349717,0.7048178137651822,0.7134039063140003,0.7076811060792754,0.0031168079790285796,0.002863292314093213,0.7139514277156549,0.7085393096605912,0.0036643293806831734,0.003721495895409044,0.7143547887482593,0.7087300571282266,0.0040676904132875835,0.00391224336304441,0.7134039063140003,0.7076811060792754,0.0031168079790285796,0.002863292314093213,0.7134514264356517,0.7084354547054776,0.003164328100680014,0.0036176409402954857,0.7129191050729089,0.7078401689843337,0.002632006737937176,0.003022355219151507,0.7148272699578111,0.7082763918004192,0.004540171622839373,0.003458578035237081,0.7139514277156549,0.7085393096605912,0.0036643293806831734,0.003721495895409044,0.7142547884922584,0.7084964234849818,0.003967690157286707,0.003678609719799608
train_02,14929,2,True,0.9643700590861614,0.9634800627240143,0.9680789445388821,0.9669652457757297,0.003708885452720745,0.0034851830517154125,0.9687919209658591,0.9675616039426523,0.0044218618796977305,0.0040815412186380184,0.969504897392836,0.9679414682539683,0.005134838306674605,0.004461405529953999,0.9680789445388821,0.9669652457757297,0.003708885452720745,0.0034851830517154125,0.9686103167816986,0.9671682987711213,0.004240257695537264,0.0036882360471069964,0.9694453760214636,0.9672403033794162,0.0050753169353022765,0.003760240655401925,0.9693775344583939,0.9676499295954941,0.0050074753722325616,0.004169866871479799,0.9687919209658591,0.9675616039426523,0.0044218618796977305,0.0040815412186380184,0.9698044242939359,0.9678765040962621,0.005434365207774516,0.004396441372247817
train_03,3501,7,True,0.79257860385303,0.8095448403699343,0.7994244632865726,0.8160000985706614,0.006845859433542545,0.00645525820072701,0.800472551996801,0.8168217874445299,0.007893948143770979,0.0072769470745955855,0.8007197729215801,0.8169914057904504,0.008141169068550114,0.007446565420516027,0.7994244632865726,0.8160000985706614,0.006845859433542545,0.00645525820072701,0.7997888141252275,0.8157053466902979,0.0072102102721974815,0.006160506320363579,0.7997046470013223,0.8144290486459016,0.007126043148292238,0.00488420827596725,0.7993057332372613,0.8162282832511165,0.006727129384231256,0.006683442881182167,0.800472551996801,0.8168217874445299,0.007893948143770979,0.0072769470745955855,0.8002800557039148,0.8162246028530445,0.007701451850884777,0.0066797624831101965
train_04,8775,0,False,0.8236471114650334,0.8249596159615962,0.829953379132697,0.8329789778977896,0.006306267667663512,0.008019361936193459,0.8309401437482076,0.8345173717371738,0.007293032283174128,0.009557755775577603,0.8314440882461387,0.8342909490949095,0.007796976781105247,0.009331333133313358,0.829953379132697,0.8329789778977896,0.006306267667663512,0.008019361936193459,0.8305587846695891,0.8347940394039403,0.006911673204555657,0.009834423442344087,0.8305776685853579,0.8323960396039604,0.006930557120324421,0.007436423642364187,0.8302867282559712,0.8328823282328232,0.006639616790937719,0.007922712271226984,0.8309401437482076,0.8345173717371738,0.007293032283174128,0.009557755775577603,0.8311174605166127,0.8333090909090909,0.007470349051579284,0.008349474947494717
train_05,1060,5,True,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.6607057613718614,0.0028691615242530943,0.0038328278319215148,0.6615313025145798,0.6652052653654373,0.008396485006774701,0.008332331825497419,0.6618868135524845,0.6653114438659792,0.008751996044679355,0.008438510326039261,0.6560039790320582,0.6607057613718614,0.0028691615242530943,0.0038328278319215148,0.6646076185102213,0.6672449807654486,0.01147280100241621,0.010372047225508663,0.6598413033332644,0.6611071913170151,0.006706485825459296,0.004234257777075201,0.6608003340105506,0.6652838390561171,0.007665516502745495,0.00841090551617718,0.6615313025145798,0.6652052653654373,0.008396485006774701,0.008332331825497419,0.6614246011395258,0.6645305878096199,0.008289783631720726,0.007657654269680014
train_06,10803,9,True,0.7996932479509196,0.8137084747042992,0.8002211680353869,0.8141016808321695,0.0005279200844673371,0.00039320612787030473,0.8002022080323533,0.8142076240379693,0.0005089600814337514,0.0004991493336701236,0.8006132480981196,0.8143950250862949,0.0009200001472000618,0.0006865503819957208,0.8002211680353869,0.8141016808321695,0.0005279200844673371,0.00039320612787030473,0.799893087982894,0.8140527101056214,0.0001998400319744853,0.00034423540132222374,0.800698768111803,0.8139933371005585,0.0010055201608833997,0.0002848623962593555,0.8005780480924878,0.8147470221877401,0.0008848001415682205,0.0010385474834408992,0.8002022080323533,0.8142076240379693,0.0005089600814337514,0.0004991493336701236,0.8007690881230541,0.8144870452423899,0.001075840172134579,0.0007785705380907171
train_07,10417,6,True,0.823647674944289,0.826507438189261,0.8289275898076023,0.8291196903769802,0.005279914863313251,0.0026122521877192106,0.8296328480382154,0.8290131070309641,0.0059851730939263215,0.0025056688417031125,0.8295353889362315,0.8298361673140886,0.005887713991942434,0.003328729124827623,0.8289275898076023,0.8291196903769802,0.005279914863313251,0.0026122521877192106,0.8288851814955731,0.8276376057411615,0.005237506551284077,0.0011301675519005405,0.8273112730095098,0.8284539445520146,0.0036635980652207634,0.0019465063627536194,0.8284167696868587,0.8301578377727858,0.004769094742569702,0.003650399583524866,0.8296328480382154,0.8290131070309641,0.0059851730939263215,0.0025056688417031125,0.8285824021508215,0.8299915613515985,0.00493472720653243,0.0034841231623374824
train_08,8173,12,True,0.8460265451826358,0.8411095500558378,0.8491551943129904,0.8428696999171441,0.0031286491303545994,0.0017601498613063482,0.8496766358347162,0.8428299930753188,0.00365009065208044,0.0017204430194810438,0.8495529175117283,0.842833035131749,0.0035263723290925864,0.0017234850759112463,0.8491551943129904,0.8428696999171441,0.0031286491303545994,0.0017601498613063482,0.8498096370331671,0.8423611961686099,0.0037830918505313837,0.0012516461127721756,0.8482654787146868,0.841639108037033,0.0022389335320510684,0.00052955798119525,0.8495738840063097,0.8430128366775941,0.0035473388236739734,0.0019032866217563171,0.8496766358347162,0.8428299930753188,0.00365009065208044,0.0017204430194810438,0.849179201749534,0.8425642134082639,0.0031526565668982265,0.0014546633524261665
train_09,1109,4,True,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.6398176255316574,0.009847594166078943,0.0063434875964847315,0.6315217427831703,0.6427789544830282,0.011097706383333406,0.009304816547855532,0.6318560341838161,0.6448150981533256,0.011431997783979186,0.011340960218152896,0.6302716305659158,0.6398176255316574,0.009847594166078943,0.0063434875964847315,0.6299875868913605,0.6431052175041472,0.009563550491523576,0.009631079568974465,0.630687054441491,0.6422405164908436,0.010263018041654082,0.008766378555670862,0.6296072084043642,0.6467638756590666,0.00918317200452734,0.013289737723893857,0.6315217427831703,0.6427789544830282,0.011097706383333406,0.009304816547855532,0.6310751141095455,0.6456589976988776,0.010651077709708634,0.01218485976370487
train_10,11800,0,False,0.8368071738891478,0.8477427122593616,0.8446204551392729,0.8570319622208364,0.007813281250125037,0.009289249961474844,0.8451834952293593,0.858015294538033,0.00837632134021149,0.01027258227867145,0.8465199754431961,0.8592645826422403,0.0097128015540483,0.011521870382878663,0.8446204551392729,0.8570319622208364,0.007813281250125037,0.009289249961474844,0.84373037499686,0.8569263480093882,0.0069232011077121625,0.009183635750026564,0.8449353351896537,0.8571602994898995,0.008128161300505865,0.009417587230537872,0.846615975458556,0.8587777971403832,0.009808801569408221,0.011035084881021562,0.8451834952293593,0.858015294538033,0.00837632134021149,0.01027258227867145,0.8468852555016408,0.8591735303902494,0.010078081612493017,0.011430818130887754
train_11,28879,0,False,0.8281288505544799,0.8166544351437908,0.8315520634971435,0.8213746182452055,0.003423212942663567,0.004720183101414754,0.8322891296346674,0.8219660219821598,0.004160279080187457,0.005311586838369076,0.8326158966891233,0.8221611820133855,0.0044870461346433466,0.005506746869594736,0.8315520634971435,0.8213746182452055,0.003423212942663567,0.004720183101414754,0.8314509289337666,0.8209655666621198,0.0033220783792866637,0.00431113151832907,0.8315157382663104,0.820659938688691,0.0033868877118304885,0.004005503544900257,0.8315005360771952,0.8211139779409928,0.003371685522715273,0.004459542797202065,0.8322891296346674,0.8219660219821598,0.004160279080187457,0.005311586838369076,0.8321641516378357,0.8216299753000086,0.004035301083355813,0.004975540156217817
train_12,49432,3,True,0.7948877046382947,0.7695051699332349,0.7961028263880701,0.7715084550616449,0.0012151217497753386,0.0020032851284099706,0.7964709069181061,0.7718418959152535,0.0015832022798113465,0.002336725982018617,0.7962025865317246,0.7719454161802654,0.0013148818934298756,0.002440246247030431,0.7961028263880701,0.7715084550616449,0.0012151217497753386,0.0020032851284099706,0.7966865072285705,0.7721298966525355,0.001798802590275761,0.002624726719300585,0.7960661863353082,0.7716315753768329,0.0011784816970135115,0.0021264054435979896,0.7954924255090928,0.7721254966412714,0.0006047208707981033,0.002620326708036469,0.7964709069181061,0.7718418959152535,0.0015832022798113465,0.002336725982018617,0.7958385860075639,0.7719410961692061,0.0009508813692691298,0.0024359262359712197
train_13,500,4,True,0.6283801935207741,0.644000096000384,0.6353388613554454,0.6490994763979057,0.0069586678346712505,0.005099380397521669,0.6357132628530514,0.6502162808651235,0.007333069332277287,0.006216184864739516,0.6346465385861544,0.6487909151636606,0.006266345065380263,0.004790819163276616,0.6353388613554454,0.6490994763979057,0.0069586678346712505,0.005099380397521669,0.6355724622898492,0.6503858015432061,0.007192268769075083,0.00638570554282214,0.6327172508690035,0.6462513050052201,0.004337057348229423,0.0022512090048361078,0.6332909331637326,0.6472941091764366,0.004910739642958517,0.0032940131760526015,0.6357132628530514,0.6502162808651235,0.007333069332277287,0.006216184864739516,0.633316773267093,0.6470931483725936,0.004936579746318892,0.0030930523722095815
train_14,11108,15,True,0.7975249216637995,0.8044250066087149,0.8019428529737036,0.8073844467017552,0.0044179313099040884,0.0029594400930403886,0.8010366106537233,0.8084732044617946,0.0035116889899238224,0.004048197853079749,0.8019540530023757,0.808433680186849,0.004429131338576142,0.00400867357813417,0.8019428529737036,0.8073844467017552,0.0044179313099040884,0.0029594400930403886,0.7992246060149915,0.8085847365251025,0.0016996843511919435,0.004159729916387689,0.8006412496415992,0.8054147936640828,0.0031163279777997044,0.0009897870553678967,0.8028929354059146,0.8087029893153242,0.005368013742115041,0.004277982706609396,0.8010366106537233,0.8084732044617946,0.0035116889899238224,0.004048197853079749,0.8022718138158433,0.8076471951206243,0.0047468921520438245,0.003222188511909474
train_15,500,24,True,0.8410969558065426,0.843626698522491,0.851260780341376,0.8563091705050022,0.010163824534833332,0.012682471982511268,0.8525452737923801,0.8573192293208023,0.011448317985837453,0.013692530798311342,0.8534116866335372,0.8580812147465705,0.012314730826994524,0.014454516224079561,0.851260780341376,0.8563091705050022,0.010163824534833332,0.012682471982511268,0.852106225127445,0.8566276647283332,0.011009269320902404,0.013000966205842235,0.8530323409040816,0.8571516597470197,0.011935385097538997,0.013524961224528731,0.8517563307120063,0.8565514821904912,0.010659374905463648,0.012924783668000206,0.8525452737923801,0.8573192293208023,0.011448317985837453,0.013692530798311342,0.8535384553330008,0.8579530168204962,0.012441499526458122,0.014326318298005236
train_16,1809,0,False,0.892160096009601,0.89325466058738,0.8897764976497649,0.8886729550248839,-0.0023835983598361477,-0.004581705562496152,0.8915878787878788,0.8895427350646159,-0.0005722172217221821,-0.0037119255227641146,0.8935706370637064,0.8911374918078113,0.0014105410541054297,-0.00211716877956869,0.8897764976497649,0.8886729550248839,-0.0023835983598361477,-0.004581705562496152,0.8913521752175217,0.8883926285661621,-0.000807920792079253,-0.004862032021217932,0.8940594859485949,0.8914962200729106,0.0018993899389938562,-0.0017584405144693838,0.892449404940494,0.8899904253794007,0.00028930893089296195,-0.00326423520797936,0.8915878787878788,0.8895427350646159,-0.0005722172217221821,-0.0037119255227641146,0.8942119811981197,0.8915907822516231,0.0020518851885187317,-0.0016638783357568743
