dataset,n_train,ratio,n_obj,l2,msl,seed_00_pub,seed_00_prv,seed_00_n_iter,seed_01_pub,seed_01_prv,seed_01_n_iter,seed_02_pub,seed_02_prv,seed_02_n_iter,seed_03_pub,seed_03_prv,seed_03_n_iter,seed_04_pub,seed_04_prv,seed_04_n_iter,seed_05_pub,seed_05_prv,seed_05_n_iter,seed_06_pub,seed_06_prv,seed_06_n_iter,seed_07_pub,seed_07_prv,seed_07_n_iter,seed_08_pub,seed_08_prv,seed_08_n_iter,seed_09_pub,seed_09_prv,seed_09_n_iter,pub_mean,pub_std,pub_min,pub_max,pub_range,pub_seed0_pct,pub_seed0_z,prv_mean,prv_std,prv_min,prv_max,prv_range,prv_seed0_pct,prv_seed0_z
train_01,14957,0.0008022999264558401,5,0.0,20,0.7102870983349717,0.7048178137651822,42,0.7108383797462521,0.7030028324078668,59,0.7073317307692307,0.7043829511449649,51,0.7090730952271238,0.7047296410683139,45,0.711782462163103,0.704621625514074,34,0.710931899985664,0.7046604311020787,54,0.7112208607254035,0.7054239810532716,44,0.7094968563119521,0.7028573714614905,51,0.7118123022394938,0.7063339520891009,33,0.7066838891107562,0.7051343393448657,53,0.7099458574613952,0.0017890127419805581,0.7066838891107562,0.7118123022394938,0.0051284131287375745,44.44444444444444,0.19074256184379554,0.7045964938951209,0.0010367742817197463,0.7028573714614905,0.7063339520891009,0.0034765806276103595,66.66666666666667,0.21346967605536007
train_02,14929,0.001875544242749012,2,0.0,20,0.9643700590861614,0.9634800627240143,294,0.9644177401847339,0.9629517089093702,263,0.9666094706822044,0.9645801331285202,228,0.9661099391729986,0.9637544802867384,275,0.9615035930427838,0.9622233422939067,163,0.9647350274950336,0.9628704237071174,199,0.9654524840252319,0.9640772209421402,221,0.9652888002539579,0.9636912762416794,300,0.9652953604051037,0.9638752880184333,268,0.9655819270075983,0.964815188172043,293,0.9649364401355808,0.0013955051080002665,0.9615035930427838,0.9666094706822044,0.0051058776394206085,11.11111111111111,-0.4058609647305637,0.9636319124423963,0.0007905702815435255,0.9622233422939067,0.964815188172043,0.002591845878136323,33.333333333333336,-0.19207617833233973
train_03,3501,0.005141388174807198,7,0.0,20,0.79257860385303,0.8095448403699343,45,0.7870403750973484,0.8083461507196618,82,0.7941561773788535,0.8091006323243922,51,0.793236099503462,0.8081178060218994,55,0.7977563220951022,0.8087738769825344,36,0.7965562205185046,0.8095614821699115,35,0.7933386681848752,0.8120779143472158,37,0.7932593014672762,0.8080456382162294,44,0.7902710485415485,0.8086012183077722,42,0.796144825698047,0.807916984301022,43,0.7934337642338047,0.0031268376120160086,0.7870403750973484,0.7977563220951022,0.0107159469977538,22.22222222222222,-0.27349049963082406,0.8090086543760574,0.0012290339855681011,0.807916984301022,0.8120779143472158,0.004160930046193778,77.77777777777777,0.4362662059577663
train_04,8775,0.0013675213675213675,0,0.0,20,0.8236471114650334,0.8249596159615962,107,0.8256993770228195,0.8293218121812181,69,0.821987567341964,0.8250988298829883,91,0.8235085227272727,0.8306560256025602,88,0.8270423755069851,0.8283850785078508,62,0.8250384399709125,0.8285324532453245,62,0.8280385820803802,0.8301153315331533,66,0.8231684522102503,0.831202800280028,109,0.8250136348273178,0.8292851685168517,54,0.8251533437973697,0.828631183118312,65,0.8248297406950306,0.0018291720109266721,0.821987567341964,0.8280385820803802,0.006051014738416183,33.333333333333336,-0.6465380089639543,0.8286188298829883,0.0021041566703925052,0.8249596159615962,0.831202800280028,0.006243184318431849,0.0,-1.7390406203495965
train_05,1060,0.008490566037735849,5,0.0,20,0.6531348175078051,0.6568729335399399,23,0.6499465131320394,0.6477810293665569,10,0.650781299190175,0.652918084447034,22,0.6369779703315704,0.6498949977044001,43,0.6466515073812198,0.6480705198073713,20,0.6526379992434777,0.6517876474796968,12,0.6552930370623862,0.652068576428757,19,0.6531739894090073,0.6665427784137108,24,0.6563543632771676,0.6641197962332958,24,0.6626776213411721,0.6561892944226602,21,0.651762911787602,0.006718936386734864,0.6369779703315704,0.6626776213411721,0.0256996510096017,55.55555555555556,0.20418495446862864,0.6546245657843424,0.006406232347694682,0.6477810293665569,0.6665427784137108,0.018761749047153886,77.77777777777777,0.3509656899045576
train_06,10803,0.0008331019161344071,9,0.0,20,0.7996932479509196,0.8137084747042992,48,0.800355968056955,0.8118035774556059,42,0.798827487812398,0.8112752217245666,36,0.797725487636078,0.8135244343921093,43,0.7976319676211148,0.8128122784014611,41,0.8000807680129229,0.8137107952125835,39,0.7988761278201805,0.8127878730557141,30,0.7957748473239754,0.8116065743040356,64,0.7981605277056845,0.8113655615125936,46,0.7992873278859725,0.8122369523820497,50,0.7986413757826201,0.0013715793109365516,0.7957748473239754,0.800355968056955,0.00458112073297956,77.77777777777777,0.7669058288588851,0.8124831743145018,0.0009599131922745537,0.8112752217245666,0.8137107952125835,0.002435573488016929,88.88888888888889,1.2764699971400557
train_07,10417,0.0016319477776711145,6,0.0,20,0.823647674944289,0.826507438189261,67,0.8219364595460712,0.8245098806442563,85,0.8223935091277891,0.8185108066070793,163,0.8231786230101099,0.8240190531333983,77,0.8241925817460221,0.8246182243758672,103,0.8240312701289453,0.8194327685536241,90,0.8214213185784414,0.8224361464135105,102,0.8234293921608635,0.8237604364860078,84,0.822207392648959,0.8222815525512709,93,0.8248701545502919,0.8242786299911132,102,0.8231308376441783,0.0011089153865308904,0.8214213185784414,0.8248701545502919,0.003448835971850528,66.66666666666667,0.4660746044183097,0.8230354936945389,0.002452926529344761,0.8185108066070793,0.826507438189261,0.007996631582181668,100.0,1.4154294689166844
train_08,8173,0.0014682491129328276,12,0.0,20,0.8460265451826358,0.8411095500558378,51,0.8463103130825804,0.8393741369165556,57,0.8469995665857456,0.8420786851911892,34,0.8484299296550099,0.841294475065144,47,0.8473843257687501,0.8404040331263936,40,0.8490420392620817,0.8413337816363863,34,0.8470043680730543,0.8384535145758534,44,0.847680017362178,0.8405809527240415,52,0.8468204711091307,0.8414686728228282,55,0.8476027134165077,0.8395014229619223,42,0.8473300289497674,0.0009161730596597822,0.8460265451826358,0.8490420392620817,0.0030154940794459018,0.0,-1.4227484135100792,0.8405599225076152,0.0011333916640627632,0.8384535145758534,0.8420786851911892,0.0036251706153358487,55.55555555555556,0.48494052466587007
train_09,1109,0.016230838593327322,4,1.0,50,0.6204240363998369,0.6334741379351727,32,0.6284919969294478,0.6344398060727166,23,0.625630997022102,0.6344751685678942,19,0.6181494466589182,0.6282828916408342,32,0.6189019623657334,0.6284324221917099,12,0.6315990346675705,0.6373140888821115,23,0.6142599686127739,0.6323802207483761,16,0.6227207095362983,0.6383701633987294,28,0.6172334658177042,0.6387352291577694,19,0.6194114006969711,0.6255694201782878,54,0.6216823018707356,0.005408006113375827,0.6142599686127739,0.6315990346675705,0.017339066054796626,55.55555555555556,-0.23266716873462362,0.6331473548773602,0.004513082568512494,0.6255694201782878,0.6387352291577694,0.013165808979481608,44.44444444444444,0.07240795018741192
train_10,11800,0.002288135593220339,0,0.0,20,0.8368071738891478,0.8477427122593616,134,0.8381274941003991,0.8480054676157224,77,0.8378449340551894,0.8475655684228869,98,0.8344479735116759,0.8485695435177758,128,0.8386679741868759,0.8540121958810778,67,0.8388542142166743,0.8493483683164407,75,0.8355207736833239,0.8496909744175175,83,0.8331487733038037,0.8466497651924042,120,0.8368367738938838,0.852198831874817,85,0.838476774156284,0.8494240585013119,70,0.8368732858997256,0.0019385682992964692,0.8331487733038037,0.8388542142166743,0.0057054409128706185,33.333333333333336,-0.03410352402946872,0.8493207485999316,0.0022469936834613236,0.8466497651924042,0.8540121958810778,0.0073624306886735935,22.22222222222222,-0.7022878400526344
train_11,28879,0.0006925447557048374,0,0.0,20,0.8281288505544799,0.8166544351437908,176,0.8259478964970955,0.8151035612943385,122,0.8260779952313133,0.815286874039009,140,0.8235830759629388,0.8165494105494644,215,0.8245004880702821,0.8139446084920069,149,0.825219951673041,0.81545962028486,162,0.8265113376326192,0.8135072194802693,149,0.8226535021043031,0.815949681692228,156,0.8251306588148695,0.81367260119664,183,0.8268329839496887,0.8164896938212878,208,0.825458674049063,0.0016062077069426118,0.8226535021043031,0.8281288505544799,0.005475348450176831,100.0,1.6624104677592,0.8152617705993894,0.0012010263290240443,0.8135072194802693,0.8166544351437908,0.0031472156635214965,100.0,1.1595620435174192
train_12,49432,0.0001618384851917786,3,0.0,20,0.7948877046382947,0.7695051699332349,68,0.7951352249947239,0.7717614157092242,48,0.7962973866682367,0.77092093355759,57,0.7955451455850095,0.77106125391681,48,0.795021704831255,0.7715618151982468,48,0.7962633866192768,0.7711842142315883,44,0.7958975460924664,0.7728486184924633,75,0.7960925863733244,0.7714790149862784,55,0.7959560261766777,0.7709362935969117,48,0.796138746439795,0.7712527744071025,45,0.795723545841906,0.000535701657768107,0.7948877046382947,0.7962973866682367,0.001409682029941961,0.0,-1.5602736924384493,0.771251150402945,0.0008338584612738349,0.7695051699332349,0.7728486184924633,0.0033434485592284124,0.0,-2.0938571122044576
train_13,500,0.018,4,1.0,50,0.6283801935207741,0.644000096000384,28,0.6357752631010525,0.6492841171364685,20,0.6254097816391265,0.639688478753915,34,0.6380970323881296,0.6493625974503898,24,0.6367541470165881,0.6475331501326005,12,0.6328518914075656,0.6506502026008105,23,0.6240473761895048,0.6356726226904907,26,0.634944059776239,0.645999303997216,20,0.6392222368889475,0.6532074128296513,18,0.6380540722162888,0.6499796399185598,27,0.6333536054144216,0.005514523839408577,0.6240473761895048,0.6392222368889475,0.015174860699442738,22.22222222222222,-0.9018751280220991,0.6465377621510486,0.005389800159450915,0.6356726226904907,0.6532074128296513,0.017534790139160594,22.22222222222222,-0.47082750298541043
train_14,11108,0.0020705797623334532,15,0.0,20,0.7975249216637995,0.8044250066087149,48,0.7962135583067094,0.8047379204534763,64,0.7977874823359548,0.8052658175508264,56,0.7996092469996722,0.7994650301376596,69,0.7986282044882035,0.8022309292973129,54,0.7942889133796183,0.8062722464061711,54,0.7974929215818792,0.8065397953442643,50,0.7978740425575489,0.8020830733052087,64,0.7960996380150734,0.8046731134439502,67,0.7923461884062424,0.8022930160126119,62,0.7967865117734702,0.0021432876108949954,0.7923461884062424,0.7996092469996722,0.007263058593429794,55.55555555555556,0.3445220728080519,0.8037985948560197,0.0022179199936539157,0.7994650301376596,0.8065397953442643,0.007074765206604772,44.44444444444444,0.28243207802243325
train_15,500,0.06,24,1.0,70,0.8410969558065426,0.843626698522491,62,0.8419013448206264,0.8459212973566099,96,0.8443037077123546,0.8498158895327593,99,0.8536200866925039,0.8574040544154582,110,0.8463134397710224,0.8549041148333324,79,0.8393269158279844,0.8447390275939234,45,0.8422843719643338,0.847553780310367,98,0.8497355544105823,0.8538462018603584,90,0.8466372441637179,0.8495607740593978,114,0.8464667786776968,0.8513176938265417,59,0.8451686399847365,0.004318987386309073,0.8393269158279844,0.8536200866925039,0.014293170864519533,11.11111111111111,-0.9427404652999922,0.8498689532311239,0.004550599982362378,0.843626698522491,0.8574040544154582,0.013777355892967247,0.0,-1.3717432278880195
train_16,1809,0.011608623548922056,0,1.0,20,0.892160096009601,0.89325466058738,129,0.8847644764476448,0.8832689905175415,49,0.8820653265326532,0.8824315312224793,60,0.8714508250825083,0.8725284230548672,34,0.8713181718171819,0.8669450944149752,34,0.8892921292129214,0.8868849138284147,64,0.8739576357635762,0.8730954761197698,45,0.8846659065906591,0.8814911895570073,66,0.8780783678367837,0.8765609959653471,48,0.8904501650165016,0.8867300302598973,69,0.8818203100310031,0.007800884030931056,0.8713181718171819,0.892160096009601,0.020841924192419148,100.0,1.3254633625624839,0.880319130552768,0.007971751793691051,0.8669450944149752,0.89325466058738,0.026309566172404764,100.0,1.6226709472878165
